Country,Region,District,Ward,Village,Hamlet,clinical_trial,code,new_hamlet,Accessibility_Scores
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Zona Verde A,0,ZVA,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Zona Verde B,0,ZVB,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Eduardo Mondlane,0,EDU,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,25 de Setembro,0,DEX,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Ambrosio,0,AMB,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Chitequeteque,0,CHT,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Nhangona,0,NXG,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Muriwa,0,MUR,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Bone,0,XAM,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Chizimba,0,CHZ,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Tewe,0,TEW,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Norte,0,NOR,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Ndima Mangaze,0,NDI,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Muto A,0,MUT,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Muto B,0,MUB,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Malulo,0,MAL,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Chimpene,0,CHM,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Dande,0,DAN,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Cua cua muana,0,MUX,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Mitchiu,0,TCH,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Namacheta,0,NMX,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Gemusse,0,GMX,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Chipire,0,CHP,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Nhaminga,0,NHX,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Chamanga,Massancare,0,MSC,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Alfredo,0,ALF,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Mbalame,0,MBZ,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Cubalalica,0,CUB,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Benejuaque,0,BEN,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Posso,0,POS,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Chunga,0,CHU,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Sabesse,0,SAB,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Chicote,0,CHI,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Dombe,Nzondoene,0,ZOD,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,24 de Julho,0,DEJ,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,24 de Julho B,0,BBB,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Cimento,0,CIM,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,4 de Outubro,0,DEO,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,7 de Abril,0,DEA,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Luta Continua,0,LUT,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Mifarinha,0,MIF,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,25 de Junho,0,DEU,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Forca da Mudanca,0,FFF,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Josina Machel,0,JSA,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Liberdade A,0,LIB,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Liberdade B,0,LIE,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Nhamissundo,0,NHM,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Chiverano,0,CHV,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,8 de Marco,0,DEM,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Agostinho Neto,0,AGO,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Mazembe,0,MMZ,FALSE,This will be deleted
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Nhalumbanda,0,NHA,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Serracao,0,SER,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Ntada,0,NTA,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Marruma,Mbaua,0,BAX,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Magamba,0,MAG,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Mangala,0,MAN,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Capece,0,CAP,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Tesoura,0,TES,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Tiquita,0,TIQ,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Migoa,0,MIG,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Mulaira,0,MUL,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Cunhanhassa,0,CUN,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Tambalico,0,TAM,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Vembe,0,VEM,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Vumbe,0,VUM,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Nota,0,NOT,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Gale,0,GAL,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Gomoi,0,GMI,FALSE,Very Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Ntongolo,0,NTG,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,N'goma,0,NNX,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Cuacua,Sangalaza,Barroso,0,BRS,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Majambe,Cumbalenga,0,CUM,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Majambe,Lota,0,LOT,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Majambe,Ntruzao,0,NTR,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Majambe,Majambe,0,MAJ,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Majambe,Alfredo,0,ALR,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Majambe,Nsanzo,0,NSZ,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Majambe,Nhangu,0,NNU,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Ndingo,Longodze,0,LGZ,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Ndingo,Ndingo,0,DNG,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Ndingo,Botao,0,TAO,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Ndingo,Vundo A,0,VDA,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Ndingo,Vundo B,0,VDB,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Rovuma/Conho,Ndingo,Ngangane,0,GNG,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Sambalendo,Sambalendo,0,SAE,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Sambalendo,Taibo,0,TAI,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Sambalendo,Sassune,0,SAS,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Chizimba,0,CHB,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Sangate,0,SAN,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Magaio,0,MAA,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Vinte,0,VNT,FALSE,Normal
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,7 de Setembro,0,DDS,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Julius Nyerere,0,JUL,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Acordos de Lusaka,0,ACD,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Somopo,0,SOM,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,3 de Fevereiro,0,DFO,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Josina Machel,0,JSB,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Sambalendo,Josina Machel,0,JON,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,25 de Setembro,0,DRX,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Eduardo Mondlane,0,EDX,FALSE,Easy
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Mandawa,0,MDM,FALSE,Hard
Mozambique,Zambezia,Mopeia,Mopeia sede | Sambalendo,Chimuara,Chimuara Sede,0,CHS,FALSE,Easy
