iso,code,ward,village,hamlet,lng,lat,clinical_trial,n_cattle,n_goats,n_pigs,n_households,religion,electricity,telecom_have_data,telecom_have_voice,chief_name
TZA,MKU,Bungu,Bungu A,Mkundi,39.05420587,-7.63224058,1,6 to 19,0,0,300,Muslim,Partially,Yes,Yes,Mohamed Seif Mniku
TZA,MWE,Bungu,Bungu A,Mwenge,39.06306002,-7.64580415,1,1 to 5,1 to 5,0,600,Muslim,Partially,Yes,Yes,Ramadhani Rashid Mziwanda
TZA,MWO,Bungu,Bungu A,Muongozo,39.05543704,-7.64354591,1,0,1 to 5,0,300,Muslim,Yes,Yes,Yes,JUMA MAULIDI MKIMA
TZA,KIB,Bungu,Bungu B,Kibaoni,39.0697915,-7.63039229,1,20 or more,0,0,240,Muslim,Partially,Yes,Yes,ISMAIL SAIDI MIKOI
TZA,KKW,Bungu,Bungu B,Kibwibwi,39.10989304,-7.62844407,1,6 to 19,6 to 19,0,420,Muslim,No,DK,Yes,Said Ismail Madinga
TZA,KIN,Bungu,Bungu B,Kinyamale,39.08502699,-7.60915979,1,0,0,0,100,Muslim,No,DK,Yes,Hindu Ally Ngamba
TZA,KIP,Bungu,Bungu B,Kipenya,39.07807678,-7.65328587,1,0,1 to 5,0,192,Muslim,No,Yes,Yes,Shamte mohamed kobwae
TZA,KIT,Bungu,Bungu B,Kitula,39.0664432,-7.62717648,1,1 to 5,0,0,300,Muslim,Partially,Yes,Yes,JUMA MOHAMEDI MPUKUCHO
TZA,AZI,Bungu,Mangombela,Azimio,39.06662592,-7.66536332,1,0,6 to 19,0,270,Muslim,No,Yes,Yes,RAMADHANI ABASI MKOPI
TZA,NYM,Bungu,Mangombela,Nyamango,39.05913273,-7.64952504,1,0,0,0,150,Muslim,No,Yes,Yes,OMARI SAIDI MCHONJO
TZA,BUN,Bungu,Msafiri,Bungu B,39.05666682,-7.62513543,1,1 to 5,0,0,257,Muslim,Yes,Yes,Yes,HAMIDU ZUBERI MAPANDE
TZA,MSA,Bungu,Msafiri,Msafiri,39.06807301,-7.62022001,1,0,0,0,260,Muslim,Partially,Yes,Yes,REHEMA SEIF RWAMBO
TZA,NGO,Bungu,Msafiri,Ngongoroka,39.07730163,-7.61249873,1,0,0,0,100,NA,NA,NA,NA,NA
TZA,NYK,Bungu,Msafiri,Nyakilo,39.0438045,-7.6209337,1,0,0,0,162,Muslim,No,Yes,Yes,Abed Msham Mbindeki
TZA,ZUM,Bungu,Msafiri,Zumbe,39.0621943,-7.58933371,1,0,0,0,256,Muslim,No,DK,Yes,SHAMTE HALFANI NYANYENGA
TZA,DUN,Bungu,Nyambili,Dungutu,39.03266216,-7.58019901,1,20 or more,20 or more,0,884,Muslim,No,Yes,Yes,ALLY KASSIM MWANDI
TZA,NYB,Bungu,Nyambili,Nyambili Kaskazini,39.02129509,-7.61763526,1,0,0,0,230,Muslim,No,Yes,Yes,JAMALI ABASI KIGUMI
TZA,NYL,Bungu,Nyambili,Nyambili Kusini,39.02601235,-7.62159612,1,1 to 5,6 to 19,0,190,Muslim,Partially,No,Yes,AHAMISI ABDALAH MPONDI
TZA,BES,Bungu,Nyambunda,Besabu,39.00458759,-7.58277635,1,20 or more,20 or more,0,160,Muslim,No,Yes,Yes,ATHUMANI OMARI MUHUNZI
TZA,MKW,Bungu,Nyambunda,Mkwandara,38.99564647,-7.53632559,1,20 or more,20 or more,6 to 19,270,Muslim,No,No,Yes,MALULU HAKIBA MADISHA
TZA,NAN,Bungu,Nyambunda,Nyangundu,38.98823455,-7.60593535,1,0,6 to 19,0,150,Muslim,No,Yes,Yes,OMARY SULTAN MGWAYA
TZA,LUG,Bungu,Pagae,Lugome,39.01252937,-7.66766709,1,6 to 19,20 or more,0,560,Muslim,No,Yes,Yes,Omari Saidi Ndete
TZA,MKA,Bungu,Pagae,Mkale,39.02458982,-7.70257618,1,0,20 or more,0,300,Muslim,No,Yes,Yes,Chande Abdala Logolo
TZA,NYY,Bungu,Pagae,Nyameku,39.04396908,-7.66594593,1,0,6 to 19,0,150,Muslim,Yes,Yes,Yes,SUDI HEMEDI KULAMANJEMA
TZA,UND,Bungu,Pagae,Undembo,39.03022769,-7.66606209,1,0,0,0,21,Muslim,Yes,Yes,Yes,ALLY SALUM MCHAMBUKA
TZA,BON,Dimani,Bondeni,Bondeni,38.89008814,-7.79182074,1,20 or more,20 or more,0,93,Muslim,Partially,Yes,Yes,AMIRI MOHAMED EKILE
TZA,DIM,Dimani,Dimani,Dimani,38.88106412,-7.74111458,1,0,0,0,1160,Muslim,Partially,Yes,Yes,Hashimu salumu saadi
