type,name,label::English,label::Swahili,label::Portuguese,hint::English,hint::Swahili,hint::Portuguese,appearance,required,relevant,read_only,constraint,constraint_message,choice_filter,calculation,repeat_count,default
begin group,group_location,Location information,Taarifa za Eneo,Informação do local,,,,field-list,,,,,,,,,
deviceid,device_id,,,,,,,,,,,,,,,,
start,start_time,,,,,,,,,,,,,,,,
end,end_time,,,,,,,,,,,,,,,,
today,todays_date,,,,,,,,,,,,,,,,
select_one yn,have_wid,Do you have a QR code with your worker ID?,Je una QR code yenye namba yako ya utambulisho?,Você tem um código QR que contem seu código de identificação?,,,,,yes,,,,,,,,
integer,wid_manual,Manually write your 3 digit worker ID here,Andika namba yako ya utambulisho yenye herufi tatu hapa,Escreva aqui o seu código de 3 digitos,,,,,yes,${have_wid}='No',,string-length(.)<4,"The worker ID must be a number between 0 and 999, 3 digts, and can't start with a zero.

ID ya mfanyakazi lazima iwe kati ya 0 na 999, tarakamu 3, na haiwezi kuanza na sifuri.",,,,
barcode,wid_qr,Scan your worker ID QR code,Scan QR code yako yenye namba ya utambulisho,Rastreie o seu código QR,,,,,,${have_wid}='Yes',,,,,,,
calculate,wid,,,,,,,,,,,,,,"if(${have_wid}='Yes',${wid_qr}, ${wid_manual})",,
select_one Country,Country,1. Country,1. Nchi,1. País,,,,,yes,,,,,,,,
select_one_external Region,Region,1a Region,1a Mkoa,1a Província,,,,,yes,,,,,Country=${Country},,,
select_one_external District,District,1b. District,1b Wilaya,1b. Distrito,,,,,yes,,,,,Country=${Country} and Region=${Region},,,
select_one_external Ward,Ward,1b. Ward,1c Kata,1b. Posto Administrativo,,,,,yes,,,,,Country=${Country} and Region=${Region} and District=${District},,,
select_one_external Village,Village,2. Village,2. Kijiji,2. Localidade,,,,,yes,,,,,Country=${Country} and Region=${Region} and District=${District} and Ward=${Ward},,,
text,village_other,What is the name of the village?,"Je, kijiji kinaitwaje?",Qual é o nome desta localidade?,(You appear to be in a village which is not in the database),Unaonekana kuwa kwenye kijiji ambacho hakipo kwenye taarifa za awali.,Parece que ocê está em uma localidade que não esta listada na base de dados.,,,"selected(${Village}, 'Other')",,,,,,,
select_one_external Hamlet,Hamlet,2a. Hamlet,2a. Kitongoji,2a. Bairro,,,,,yes,,,,,Country=${Country} and Region=${Region} and District=${District} and Ward=${Ward} and Village=${Village},,,
text,hamlet_other,What is the name of the hamlet?,"Je, kitongoji kinaitwaje?",Qual é o nome deste Bairro?,(You appear to be in a hamlet which is not in the database),Unaonekana kuwa kwenye kitongoji ambacho hakipo kwenye taarifa za awali.,Parece que você está em um bairro que não esta listado na base de dados.,,,"selected(${Hamlet}, 'Other')",,,,,,,
,,,,,,,,,,,,,,,,,
select_one yndk,hamlet_alternative,Does this hamlet have an alternative name?,Je kitongoji hiki kina jina lingine tofauti?,Este bairro tem um nome alternativo?,,,,,,,,,,,,,
text,hamlet_alternative_name,Write the alternative name(s) of this hamlet,Andika jina lingine la kitongoji hiki.,Escreva o nome alternativo deste bairro:,,,,,,"selected(${hamlet_alternative}, 'Yes')",,,,,,,
