icdcode,icdname
"A00","Cholera"
"A01","Typhoid fever (salmonellosis)"
"A01","Typhoid"
"A06","Dysentery Acute/Chronic"
"A09","Diarrhoea"
"A15","TB Confirmed"
"A16","TB Not confirmed"
"A20","Plague"
"A33","Tetanus, Neonatal"
"A41","Septicaemia"
"A75","Relapsing Fever (Louse borne Typhus)"
"B05","Measles"
"B24","HIV and AIDS"
"B45","Meningitis Cryptococal"
"B53","Malaria confirmed"
"B54","Malaria presumptive"
"C80","Neoplasm"
"G03","Meningitis"
"G04","Encephalitis"
"G83","Acute Flaccid Paralysis"
"I50","Heart failure"
"J06","Respiratory Infection Acute (ARI)"
"J18","Pneumonia"
"J45","Asthma"
"J81","Pulmonary oedema"
"J98","Pneumopathies"
"K75","Hepatitis"
"L08","Skin infections"
"R09","Pleurisy (non-Tuberculosis)"
"R50","Fever Chronic (> 1 month)"
"S09","Head injury"
"S36","Ruptured spleen"
"T14","Fractures"
"T14.9","Trauma Other"
"T30","Burns"
"C22","Cancer Liver"
"C46","Kaposi's sarcoma"
"C50","Cancer Breast"
"C55","Cancer Uterine"
"C61","Cancer Prostate"
"C80","Tumours Other malignant"
"D48","Tumours Other non-malignant"
"E14","Diabetes"
"I10","Hypertension"
"I42","Cardiomyopathy"
"I64","Cerebrovascular accident"
"A80","Acute Flacid Paralysis (polio)"
"K25","Ulcer, gastro-duodenal"
"K29","Gastritis"
"K37","Appendicitis"
"K46","Hernia"
"K56","Intestinal occlusion"
"K65","Peritonitis (non-Tuberculosis)"
"K74","Cirrhosis of the liver"
"K75","Hepatitis"
"K92","Digestive tract Haemorrhages"
"M86","Bone infections (including osteomyelitis)"
"M89","Bone and joint disease other"
"N04","Nephrotic syndrome"
"N05","Glomerulonephritis"
"N15","Kidney infections"
"N39","Urinary tract infections"
"N94","Gynecological problems"
"B24","Paediatric AIDS"
"P05","Low birth weight or Prematurity Complication"
"P15","Birth trauma"
"P21","Neonatal Asphyxia"
"P22","Respiratory distress"
"P23","Pneumonia"
"P36","Neonatal Septicaemia"
"P37","Malaria"
"P54","Haemorrhage"
"P74","Dehydration"
"P78","Diarrhoea"
"P95","Stillbirth (fresh)"
"P95","Stillbirth (macerated)"
"P95","Stillbirth"
"Q05","Congenital hydrocephalus and spinal bifida"
"Q24","Congenital malformation of the heart"
"Q89","Other congenital malformation"
"R95","Sudden infant death syndrome"
"X49","Accidental poisoning by and exposure to noxious substances"
"Y09","Assault"
"O06","Abortion"
"O16/O15","Severe Hypertension in pregnancy/ eclampsia"
"O46","Antepartum Haemorrhage"
"O66","Obstructed Labour"
"O71","Rupture uterus"
"O72","Post-partum haemorrhage"
"O75","Unknown fever"
"O75","Local herbs"
"O85","Puerperal Sepsis /Septicaemia"
"O98","Malaria in pregnancy"
"O99","Pneumonia"
"O99","Anaemia in Pregnancy"
"O99","Pulmonary oedema"
"O99","Meningitis"
"O99.4","Cardiomyopathy"
"Z21","Asymptomatic HIV"
"T29","Burns and corrosions of multiple body regions"
"T30","Burn and corrosion, body region unspecified"
"T31","Burns classified according to extent of body surface involved"
"T32","Corrosions classified according to extent of body surface involved"
"T50","Poisoning by diuretics and other unspecified drugs, medicaments and biological substances"
"T51","Toxic effect of alcohol"
"T54","Toxic effect of corrosive substances"
"T56","Toxic effect of metals"
"T58","Toxic effect of carbon monoxide"
"T59","Toxic effect of other gases, fumes and vapours"
"T60","Toxic effect of pesticides"
"T65","Toxic effect of other and unspecified substances"
"T67","Effects of heat and light"
"T70","Effects of air pressure and water pressure"
"T71","Asphyxiation"
"T80","Complications following infusion, transfusion and therapeutic injection"
"T81","Complications of procedures, not elsewhere classified"
"T83","Complications of genitourinary devices, implants and grafts"
"Y08","Assault by other specified means"
"Y09","Assault by other unspecified means"
"V98","Other Specified transport accidents"
"V99","Unspecified transport accidents"
"V99","Test ICD 10 Value"
