_element_key,_element_name,_element_type,_list_child_element_keys
hh_id,hh_id,string,[]
livestock_in_enclosure,livestock_in_enclosure,string,[]
orig_hh_id,orig_hh_id,string,[]
qa1,qa1,string,[]
qb1,qb1,array,"[""qb1_items""]"
qb1_items,items,string,[]
qb1_other,qb1_other,string,[]
qb2,qb2,string,[]
qb3_cow,qb3_cow,string,[]
qb3_goat,qb3_goat,string,[]
qb3_horse,qb3_horse,string,[]
qb3_other,qb3_other,string,[]
qb3_pig,qb3_pig,string,[]
qb3_sheep,qb3_sheep,string,[]
qb3a_cow,qb3a_cow,time,[]
qb3a_goat,qb3a_goat,time,[]
qb3a_horse,qb3a_horse,time,[]
qb3a_other,qb3a_other,time,[]
qb3a_pig,qb3a_pig,time,[]
qb3a_sheep,qb3a_sheep,time,[]
qb3b_cow,qb3b_cow,time,[]
qb3b_goat,qb3b_goat,time,[]
qb3b_horse,qb3b_horse,time,[]
qb3b_other,qb3b_other,time,[]
qb3b_pig,qb3b_pig,time,[]
qb3b_sheep,qb3b_sheep,time,[]
qc1,qc1,string,[]
qc1a,qc1a,string,[]
qc2,qc2,string,[]
qc2a,qc2a,string,[]
qc3,qc3,string,[]
qc3a,qc3a,string,[]
qc4_length,qc4_length,string,[]
qc4_width,qc4_width,string,[]
rand_selected,rand_selected,string,[]
